epoch;iteration;total_loss;bbox_xy_loss;bbox_wh_loss;objness_loss;class_loss
20;0;15.189922;4.9724607;1.9065361;2.8387775;5.472147
20;1;8.744652;2.791496;0.8359681;1.9291115;3.188077
20;2;10.764275;3.583681;0.9829321;2.1429782;4.0546827
20;3;14.933011;4.4433775;1.1291101;3.1059694;6.254554
20;4;12.230397;3.7904246;1.1810887;2.5048633;4.75402
20;5;13.872229;4.273638;1.4163349;3.2293353;4.952921
20;6;10.649282;3.3036351;1.3231575;2.3241644;3.6983254
20;8;8.727769;2.3954642;0.79456997;2.028201;3.5095336
20;9;9.360819;2.7159894;0.87837964;1.9339173;3.8325326
20;10;10.579558;3.1900768;1.1908464;2.2988482;3.899787
20;11;9.84253;3.3632047;1.1903105;1.7749805;3.5140352
20;12;13.509566;4.247909;1.2843678;2.7040582;5.2732315
20;13;8.349622;2.6085925;0.6704883;1.9639454;3.1065955
20;14;10.7975445;3.799671;1.078058;2.575279;3.3445363
20;16;12.913364;4.3266997;1.0348337;3.0434532;4.508378
20;17;13.192062;4.2771516;1.2944171;2.652103;4.968391
20;18;8.855509;2.5194118;0.7662679;1.9332893;3.63654
20;19;8.893501;2.9473107;0.6256757;1.9431463;3.377369
20;20;7.6184845;2.2535615;0.5951128;1.7127995;3.0570107
20;21;9.096666;2.9711683;0.8531439;2.1047664;3.1675868
20;22;10.567818;3.215797;0.83182853;2.6433163;3.8768764
20;23;11.314339;3.6712508;0.8743405;2.6547723;4.1139755
20;24;9.092848;2.9963403;0.888224;1.8907429;3.3175414
20;25;11.1064205;3.7048855;1.1173074;2.519661;3.7645662
20;26;13.970055;4.5053167;1.8685292;2.5351954;5.061014
20;27;4.940746;1.5770296;0.47956437;1.1453553;1.7387971
20;28;10.668935;3.2742057;1.0551908;2.1176076;4.2219305
20;29;10.673574;3.723546;0.837176;2.6646984;3.4481537
20;30;16.782488;5.4942636;1.5962563;3.3900409;6.3019276
20;31;15.772919;5.335014;1.8054914;3.236727;5.395686
20;32;12.764822;3.5856514;1.128118;2.9396727;5.1113796
20;34;8.027969;2.576426;0.7093778;1.8348725;2.9072933
20;35;9.643576;3.0851314;0.72712874;2.2238748;3.60744
20;36;9.335539;3.1728933;0.82016224;2.020635;3.321848
20;37;11.682871;3.576551;1.1888978;2.4033904;4.514032
20;38;8.609205;2.8620667;1.066046;2.3010592;2.3800333
20;39;9.859665;3.3939853;1.1295674;2.1743681;3.1617444
20;40;12.709379;4.3967986;1.2471709;2.439228;4.6261816
20;41;6.02222;1.9181037;0.57583934;1.3117881;2.2164888
20;42;11.241844;3.6081629;0.7903511;2.2065063;4.636823
20;43;13.046377;4.0603547;1.0743896;3.1434517;4.768181
20;44;10.570367;3.4535232;0.86525387;2.4832222;3.7683678
20;45;15.1465645;4.6995525;1.6021417;2.7085369;6.1363325
20;46;7.498756;2.234127;0.7715348;1.674876;2.8182182
20;47;8.789293;2.3257365;0.88806975;1.7525953;3.8228922
20;48;12.529863;4.130303;1.6417682;2.416391;4.341401
20;49;8.39818;2.7798955;0.756395;1.9428147;2.9190755
20;50;11.016975;3.5894353;1.218509;2.4879599;3.7210712
20;51;9.667952;2.7253065;0.91630024;2.4082685;3.6180758
20;52;10.551515;3.7755003;0.8959179;2.0611231;3.818973
20;54;7.7378464;2.5152082;0.56389135;1.6173582;3.0413885
20;56;8.212215;2.5435863;0.58022434;2.0837712;3.004633
20;57;7.775156;2.4573858;0.5129682;1.7585542;3.046248
20;58;10.785877;3.4751687;1.0270443;2.048699;4.234965
20;59;9.441212;2.670404;0.7881515;2.017301;3.9653547
20;60;10.01515;3.8189964;0.96875596;1.9798349;3.2475622
20;61;12.137556;3.9897676;1.3598796;2.7391891;4.04872
20;62;10.299231;3.7347064;0.9776397;2.2077909;3.3790936
20;63;10.995735;3.2347195;1.1058482;2.630251;4.0249166
20;64;11.333086;3.1437178;1.2851424;2.5093818;4.3948445
20;65;8.001768;2.65087;0.68447113;2.092874;2.5735536
20;66;10.5374775;2.6523013;1.06594;2.3920665;4.42717
20;67;10.369688;3.3425756;0.9432996;2.2513204;3.832493
20;68;9.18466;3.0094738;0.73093075;1.7411618;3.7030935
20;69;9.13751;2.8216338;0.6893158;1.9367787;3.6897826
20;70;8.247633;2.5831814;0.81479836;2.0240626;2.8255904
20;72;7.969375;2.4683883;0.87342817;1.7940526;2.8335056
20;73;13.559496;4.3034086;1.3808353;2.6700182;5.2052336
20;74;9.270706;2.6624458;0.8327965;2.4149733;3.3604903
20;75;14.521839;5.228551;1.1724675;3.0883057;5.0325146
20;76;10.159657;2.8951373;0.93810546;2.1373081;4.189107
20;77;10.975702;3.7611732;1.136512;2.5438967;3.53412
20;78;12.37342;4.0456467;1.3472204;2.4925957;4.487957
20;79;12.887067;3.95142;1.5796602;2.7114992;4.644487
20;80;11.890471;4.349759;1.0970153;2.6100347;3.833662
20;81;9.867134;2.825369;0.8122146;2.0245535;4.204997
20;82;9.874529;3.3526993;0.94990003;2.1338944;3.4380355
20;83;13.200284;4.2349358;1.2898077;2.5771275;5.098413
20;84;15.3980465;4.9749503;1.7117512;2.8718338;5.839512
20;85;8.632664;2.6797197;0.78521764;1.7771921;3.3905349
20;86;13.758116;4.2445507;1.2730913;3.0511508;5.189323
20;87;10.303785;3.4550524;0.97359955;2.2859278;3.5892055
20;88;9.518075;3.006795;1.0525148;2.1224504;3.3363147
20;89;10.7335415;3.4828212;1.0819192;2.232338;3.9364629
20;90;9.920476;3.2978683;0.92217785;2.1302176;3.5702128
20;91;7.586937;2.4021854;0.7474308;1.8324993;2.6048217
20;92;8.438513;2.8940306;0.78709865;1.7456918;3.0116916
20;94;8.02367;2.4174206;0.6165594;1.9997098;2.989981
20;95;9.41313;2.705533;0.8335963;2.0915418;3.7824588
20;96;9.874143;3.0965073;0.8530376;2.1543539;3.7702441
20;97;8.548099;2.6832175;0.73703194;1.6631365;3.464713
20;98;13.863285;3.886849;1.6296903;2.867016;5.4797306
20;99;10.227371;3.3374093;1.0990295;1.936435;3.8544977
20;100;10.477212;3.4062066;1.1311083;2.4213438;3.518553
20;101;7.5825486;2.3495526;0.71358;1.6427438;2.8766723
20;102;10.196489;3.9295545;0.90531814;2.056384;3.3052328
20;103;9.073681;3.0887618;1.060555;1.9905488;2.933815
20;104;10.7158165;3.446287;1.2576984;2.3896284;3.622202
20;105;9.895217;2.8129148;1.0088873;2.4022908;3.6711245
20;106;8.371092;2.685453;1.0395088;1.5393484;3.1067815
20;107;14.099781;4.4949913;1.59053;2.6433625;5.3708963
20;108;8.767574;3.0882926;1.1695783;1.8233907;2.6863127
20;109;8.960594;3.5910275;0.96765184;1.8910265;2.510888
20;110;13.701174;3.9878402;1.3604971;3.1132941;5.239542
20;111;11.156397;3.1122499;1.1315026;2.530864;4.3817806
20;112;13.438356;4.3391724;1.5810069;2.738799;4.779378
