epoch;iteration;total_loss;bbox_xy_loss;bbox_wh_loss;objness_loss;class_loss
20;0;6.8975706;2.2544894;0.5044867;1.6989907;2.4396033
20;1;14.113072;4.571722;1.3318567;2.3936493;5.8158445
20;2;10.021391;3.4230313;0.7769202;2.2349873;3.5864515
20;4;8.713648;2.6646342;0.67975354;2.004319;3.3649416
20;6;9.578718;2.5232038;1.2406087;2.047717;3.7671895
20;7;10.84178;3.4706562;1.1711996;2.2788475;3.9210773
20;8;7.8626976;2.1674047;0.63375235;1.7618146;3.299726
20;9;12.179972;3.7067428;1.2828261;2.4036663;4.786737
20;10;11.091425;3.1947217;1.1360543;2.2670844;4.493565
20;11;12.6799755;3.8925056;1.609624;2.693645;4.4842
20;12;11.935033;3.824092;1.199294;2.4801736;4.431473
20;13;12.218424;3.7680383;1.0920804;2.9181266;4.440178
20;14;9.3788595;3.3316803;0.9129735;1.7404795;3.3937259
20;15;11.834431;3.4796352;1.220071;2.4716394;4.663085
20;16;11.0939865;3.5987363;1.2870605;2.5348773;3.673312
20;17;11.477993;4.064024;1.1631478;2.3865;3.864321
20;18;11.318865;3.8195715;1.0330117;2.737585;3.7286963
20;19;8.488433;2.841806;0.7619044;1.8942199;2.9905028
20;20;13.896243;4.4725986;1.5221947;3.254994;4.6464553
20;21;10.032764;3.1944523;1.116743;2.1053479;3.6162217
20;22;7.4712563;2.6951013;0.7937898;1.6477575;2.3346076
20;23;10.42228;3.2756581;1.004461;2.4077048;3.7344565
20;24;10.567779;3.2710316;0.9899733;2.3045087;4.002265
20;25;10.141075;2.894405;0.82287437;2.1482272;4.275569
20;26;11.460164;3.5436153;1.1950215;2.4397492;4.2817783
20;27;10.65584;3.7676659;0.9407513;2.1668212;3.7806015
20;28;14.292964;4.599682;1.5126221;2.7290816;5.4515786
20;29;9.517756;3.4299798;0.9384146;2.1629684;2.986394
20;30;9.211096;2.5173886;0.74753976;1.9679734;3.9781945
20;31;9.288142;3.2662356;0.81828797;2.033869;3.1697495
20;32;11.439203;3.759211;1.1537654;2.2577195;4.268507
