epoch;iteration;total_loss;bbox_xy_loss;bbox_wh_loss;objness_loss;class_loss
0;0;491.74286;6.9639015;12.684262;32.381996;439.7127
0;1;433.84674;7.9739513;17.644037;32.681015;375.54773
0;3;396.2069;6.8159766;13.086753;31.920952;344.3832
0;4;420.15466;7.7679367;15.28414;32.313168;364.78943
0;5;350.42365;6.8274746;14.392564;31.637146;297.56647
0;6;446.25073;8.850283;14.038;31.796295;391.56613
0;7;445.9542;8.812814;13.997372;31.83139;391.31262
0;8;370.4712;8.710041;13.047638;31.525505;317.188
0;9;297.11154;5.818709;9.630743;30.838556;250.82355
0;10;282.37537;6.5978537;8.5400505;30.589209;236.64822
0;11;287.95648;6.9934998;8.855731;30.604666;241.5026
0;12;288.9354;8.3415165;8.2693205;30.536385;241.78818
0;13;226.8446;6.408144;6.92772;29.838943;183.6698
0;14;243.34326;6.510838;9.098772;29.814632;197.91904
0;15;321.81323;9.364176;9.563868;29.97661;272.9086
0;16;288.14877;7.9269915;9.173806;29.596413;241.45157
0;17;289.3697;8.132053;8.697525;29.555376;242.98474
0;18;158.93317;5.1273136;4.835485;28.374279;120.5961
0;19;333.35724;7.683761;9.333957;29.201431;287.13806
0;20;183.14264;5.191084;5.7733593;28.112902;144.06529
0;21;172.67865;5.676208;6.324436;28.1629;132.51512
0;22;230.42332;8.44704;8.495376;28.815655;184.66525
0;23;217.72043;8.7911;8.59306;28.56774;171.76852
0;24;159.99483;6.5673504;6.8407984;27.794529;118.79215
0;25;136.92471;4.324781;4.120736;27.022066;101.457146
0;26;149.07329;4.7380543;4.7263927;27.271214;112.33762
0;27;176.8067;6.8862467;7.2194023;27.554348;135.14671
0;28;173.55692;8.593746;6.120375;27.654083;131.1887
0;29;176.67975;7.539722;6.3803053;27.166874;135.59285
0;30;161.98447;7.3814993;5.5802636;26.914913;122.10777
0;31;120.91476;6.1787567;5.20854;26.355694;83.17176
0;32;116.79013;6.0545273;3.726067;25.807608;81.20193
0;33;164.64874;8.168987;8.176348;26.685078;121.618324
0;34;180.9809;10.7937565;6.919054;27.048622;136.21947
0;35;112.69795;4.8173833;3.9863281;25.268547;78.625694
0;36;138.88911;6.721639;5.1383867;25.79559;101.2335
0;37;106.0782;5.584479;4.0982876;25.093573;71.30187
0;38;121.23166;7.097337;4.8530407;25.21296;84.06833
0;39;86.57515;4.820458;3.2245307;24.42971;54.100445
0;40;87.07076;4.605536;2.5956397;24.129337;55.74025
0;41;118.75879;4.6831408;4.019191;23.991951;86.06451
0;42;123.119;7.750574;5.880408;24.592125;84.895905
0;43;82.13554;5.0358934;3.659134;23.718616;49.721893
0;44;75.20203;4.2994623;3.5764117;23.052198;44.273964
0;45;94.16518;6.0211725;5.847115;23.390095;58.906788
0;46;88.44959;5.0689106;3.9488935;23.391298;56.040485
0;47;99.29432;7.3707304;3.6785908;23.542542;64.70245
0;48;82.55386;4.695034;3.4643154;22.555439;51.839073
0;49;99.75006;8.567722;6.3838654;23.701363;61.097115
0;50;75.52945;5.8292637;3.0991042;22.500488;44.100594
0;51;87.89104;7.7701225;4.4028635;22.830317;52.887737
0;52;87.60927;5.9334702;4.5239744;22.340374;54.811455
0;53;89.91232;7.153884;5.1968765;22.608612;54.95294
0;54;80.39215;5.5865498;2.6791794;21.716024;50.410397
0;55;86.422226;7.997192;4.316784;22.174969;51.933277
0;56;66.678116;5.1812763;2.8360035;20.976362;37.684467
0;57;72.60365;6.7054267;3.4933124;21.596468;40.80845
0;58;61.622833;4.8467264;2.6354685;20.478188;33.662453
0;59;97.08191;7.136511;4.7917576;21.259714;63.893925
0;60;77.898415;7.3418922;3.039108;21.442024;46.075394
0;61;70.202675;6.0876145;3.6435537;20.51262;39.958885
0;62;72.79161;7.089838;3.6264353;20.739962;41.33538
0;63;67.98947;6.33428;3.5248065;20.329338;37.80105
0;65;58.34773;5.7633276;3.2163749;19.715044;29.652977
0;66;61.2463;6.1365633;3.8127394;19.767567;31.52943
0;67;57.91246;6.109421;2.6102161;19.711756;29.481066
0;68;62.868526;6.379141;4.0292387;19.602049;32.8581
0;69;56.28132;4.3512735;2.456184;19.079748;30.394112
0;70;49.45317;5.301187;1.9395914;18.719967;23.492426
0;72;53.374634;5.6910744;2.5158048;18.861694;26.30606
0;73;53.481705;5.6278095;3.2161207;18.593143;26.044632
0;75;48.76586;5.1325116;2.8223176;18.513762;22.297274
0;76;59.73707;6.6921663;3.094489;18.904087;31.046326
0;78;55.145893;4.1919665;2.8991246;17.828426;30.226372
0;79;54.728943;5.240737;3.2202897;18.22142;28.046497
0;81;53.770058;5.9481335;2.767393;18.028019;27.026512
0;83;54.828316;5.769821;3.2703557;17.84517;27.942968
0;84;53.03132;5.24523;2.49799;17.892035;27.396065
0;85;50.939636;6.0559855;3.559168;17.975452;23.349033
0;86;52.3272;5.4022036;2.2952862;17.61382;27.015896
0;87;57.028767;5.805318;3.2061424;17.690937;30.326368
0;89;49.55043;5.889475;2.5818224;17.480797;23.598337
0;90;56.471195;5.930891;2.7743826;17.382282;30.38364
0;91;48.922493;6.260106;3.0774837;17.439672;22.145235
0;92;47.64143;4.4928493;1.9677037;16.864738;24.316135
0;93;54.80223;5.586855;2.8982534;17.012869;29.304253
0;94;47.28598;4.730202;2.7166739;16.505306;23.333796
0;95;63.732533;7.079214;3.714651;17.239655;35.699013
0;96;53.498795;7.1397934;3.302312;17.19863;25.858063
0;97;59.665;9.810625;4.8770847;18.187607;26.789684
0;98;44.013084;5.594544;2.682229;16.204504;19.531809
0;99;40.399734;4.650488;2.2407644;16.163082;17.345398
0;101;44.748596;5.380412;3.0373313;16.080084;20.25077
0;102;46.12567;6.678232;2.9084501;16.62324;19.915747
0;103;50.83712;6.6070538;2.8842921;16.69564;24.650135
0;104;40.922157;5.676296;2.1903548;16.077015;16.978493
0;105;62.681557;4.914092;2.2998266;15.73866;39.72898
0;106;39.345722;5.0800095;2.1137588;15.47614;16.675814
0;107;43.543583;5.319653;2.6055212;15.760682;19.857727
0;108;44.117214;6.27106;2.409142;15.7432375;19.693775
0;109;47.751984;3.9802032;1.794244;14.704329;27.273209
0;110;36.251785;4.3819084;2.1704512;15.017017;14.682408
0;111;41.36193;5.0891614;3.397439;15.022924;17.852407
0;112;57.82379;7.5485783;3.797319;16.490067;29.987825
0;113;41.510452;5.9296865;2.0207596;15.193784;18.366224
0;114;46.45461;6.5499372;2.6543505;15.602781;21.647541
0;115;33.055878;4.6691732;1.7650352;14.210081;12.411588
0;116;40.16554;5.2802672;2.0099752;14.973318;17.90198
0;118;45.42944;7.3259635;2.9465933;15.351688;19.805197
0;119;41.622993;5.6421423;2.8587751;14.72352;18.398558
0;120;35.865395;5.167562;2.6862473;14.470641;13.540944
0;121;47.45327;6.533389;3.8653073;15.250456;21.80412
0;122;42.4638;6.355304;2.9956622;15.015499;18.097334
0;123;38.138298;5.1513557;1.868433;14.09853;17.01998
0;124;41.615425;5.7985325;2.732955;14.549798;18.534138
0;125;40.116753;5.248462;2.671528;14.639453;17.557306
0;126;43.786488;6.220477;2.3137984;14.585886;20.666328
0;128;37.362514;5.6631255;2.4409492;14.318962;14.939476
0;129;31.25183;3.833043;1.6581318;13.565807;12.194847
0;131;41.578804;5.889569;2.1114397;14.548425;19.029371
0;132;34.392677;5.014075;2.7447362;13.880026;12.753843
0;133;54.64974;9.180645;4.278192;15.677384;25.51352
0;134;35.410675;5.1271615;2.3266106;13.920151;14.036753
0;135;39.29893;4.210879;1.7916374;13.0749855;20.22143
0;136;33.694267;5.24084;1.9369593;13.506123;13.010347
0;139;40.374134;7.268343;4.124279;14.11372;14.867794
0;140;33.584145;4.7868223;2.2136602;13.470854;13.112809
0;141;33.52742;5.011716;2.3630695;13.375778;12.7768545
0;142;43.16326;8.678091;3.1313603;14.787231;16.566576
0;143;30.7894;4.8752503;2.0048475;13.01044;10.898864
0;144;63.907818;9.378488;4.2244987;15.387892;34.91694
0;145;39.945587;6.5672174;2.8955455;13.964148;16.518677
0;146;27.956898;4.4098372;1.8007863;12.709583;9.036692
0;147;28.465122;4.3159328;1.746773;12.77223;9.630187
0;148;36.262955;5.386765;2.1633978;13.0510645;15.661726
0;149;25.181612;3.3020272;1.8239185;12.097696;7.9579716
0;150;34.132484;4.9672203;2.718241;13.051225;13.3958025
0;151;37.668674;6.038481;2.2628016;13.314491;16.052902
0;152;32.877617;4.934923;2.1322074;12.610214;13.200275
0;153;35.5123;6.5665817;1.8417802;12.890047;14.213892
0;154;30.136707;5.0769367;1.7621181;12.510323;10.787332
0;155;30.546366;4.629059;2.1035414;12.25059;11.563176
0;156;42.506325;7.4961424;4.333602;13.575407;17.101175
0;157;39.905434;6.146398;3.785607;13.32354;16.64989
0;158;37.791397;6.550065;3.0726287;13.112223;15.056477
0;159;32.50179;5.7720118;2.7339993;12.476727;11.519051
0;160;32.647045;5.646079;2.368802;12.790294;11.841871
0;161;33.77939;5.820304;2.5961041;12.80616;12.556818
0;162;43.54214;8.549015;3.148972;13.970373;17.87378
0;163;38.398056;5.3177156;3.9350026;12.492762;16.652576
0;164;32.23134;5.013434;2.8718047;12.033138;12.31296
0;165;35.245953;6.7337193;2.590547;12.789221;13.132463
0;166;30.64107;5.309772;3.1370926;12.027625;10.16658
0;167;48.10719;7.4532433;3.0269227;12.90407;24.722958
0;168;29.137123;4.1527085;2.0359023;11.805536;11.142976
0;169;36.49163;7.0488243;2.7780013;12.807046;13.857758
0;170;28.783463;4.834734;2.2969012;11.862579;9.7892475
0;171;34.000412;6.0813913;2.4014769;12.418674;13.098868
0;172;29.877552;5.2137585;2.0376434;11.855093;10.771056
0;173;30.938786;5.757765;2.2149065;12.080479;10.885635
0;174;60.111244;8.754068;4.2523665;13.483055;33.621754
0;175;36.366623;5.4052114;2.4638796;11.732453;16.76508
0;176;25.88948;3.9266987;1.6345378;11.192553;9.135691
0;178;38.338303;6.569472;3.2007964;12.154987;16.413044
0;179;35.210396;7.130584;3.2901144;12.422754;12.366943
0;180;28.141426;4.762167;2.6081796;10.797425;9.973652
0;181;25.468983;3.9905286;1.7807527;10.979591;8.718109
0;182;31.041054;5.9650087;2.024188;11.720814;11.331043
0;183;41.760864;5.287348;2.4259834;11.38567;22.661861
0;184;30.372814;5.195366;2.6305385;12.013901;10.533009
0;186;31.822258;6.275608;2.3792706;11.720753;11.446628
0;187;31.491455;5.960967;2.1589937;11.6571;11.714394
0;189;25.903835;4.244179;1.5995042;10.812216;9.247937
0;190;33.94278;6.307673;3.6468487;11.85062;12.137636
0;191;32.491608;5.50711;2.4337056;10.964031;13.586763
0;192;36.391388;6.6425934;3.104762;11.706847;14.937184
0;193;26.948322;4.5155416;2.5045395;10.885018;9.043224
0;194;31.852566;6.1104417;3.0105557;11.486027;11.245543
0;195;24.113483;3.9731617;1.8063993;10.493059;7.840862
0;196;28.825844;4.9877234;2.1739488;11.222904;10.441269
0;197;32.408157;7.1488013;2.558956;11.719404;10.980994
0;198;29.429644;5.1734753;2.1808622;11.030947;11.04436
0;199;28.30674;5.4840307;2.0851183;10.768513;9.969078
0;200;41.773758;8.352278;3.819734;12.411779;17.18997
0;201;28.038876;5.187377;2.4427958;10.997891;9.41081
0;202;35.327557;6.1012874;2.4675941;11.269091;15.489586
0;203;31.974556;6.4695435;2.8675928;11.504272;11.133148
0;204;34.27497;6.757947;2.8255658;11.51479;13.176672
0;205;26.571896;4.711328;2.6688995;10.114309;9.077357
0;206;30.681946;5.8030787;2.979676;11.17897;10.7202215
0;207;30.759647;5.8972816;2.1941833;11.00614;11.662042
0;208;33.85442;6.3146024;2.3911057;11.286347;13.862363
0;209;33.46991;6.831217;2.6666498;11.21401;12.758032
0;210;31.108809;6.037396;2.4382837;10.481382;12.151746
0;212;43.52946;7.976786;3.9004161;12.359049;19.293211
0;213;31.460073;6.1795955;3.3673754;11.343632;10.56947
0;214;23.377605;3.8080552;1.5808108;9.881815;8.106924
0;215;32.919067;6.4889555;3.4519284;11.309494;11.668692
0;217;33.403244;6.573349;3.379347;11.407677;12.04287
0;218;32.33777;6.7442083;2.6853967;11.404963;11.5032015
0;219;28.328411;5.5541983;2.4216833;10.319157;10.033374
0;220;38.278175;8.120503;3.7166283;11.891874;14.549169
0;221;35.637608;8.126083;3.981574;11.71533;11.814619
0;222;30.317944;5.985306;2.6264706;10.590354;11.115813
0;223;29.675247;6.1862535;2.9943647;10.40955;10.085079
0;224;33.08789;5.998067;2.4502006;10.795096;13.844527
